id,date,calories
4020332650,5/2/2016,2207
4319703577,5/2/2016,2270
4388161847,5/2/2016,3147
4445114986,5/2/2016,2336
4558609924,5/2/2016,2066
4702921684,5/2/2016,2859
5553957443,5/2/2016,1996
5577150313,5/2/2016,3014
6117666160,5/2/2016,2044
6290855005,5/2/2016,2725
6775888955,5/2/2016,1841
6962181067,5/2/2016,2162
7007744171,5/2/2016,2642
7086361926,5/2/2016,2754
8053475328,5/2/2016,1988
8378563200,5/2/2016,3491
8583815059,5/2/2016,2894
8792009665,5/2/2016,2015
8877689391,5/2/2016,2189
1503960366,5/3/2016,1990
1624580081,5/3/2016,1334
1644430081,5/3/2016,3324
1844505072,5/3/2016,1742
1927972279,5/3/2016,2195
2022484408,5/3/2016,2752
2026352035,5/3/2016,1604
2320127002,5/3/2016,1878
2873212765,5/3/2016,1906
3977333714,5/3/2016,1710
4020332650,5/3/2016,2828
4319703577,5/3/2016,2235
4388161847,5/3/2016,3290
4445114986,5/3/2016,2421
4558609924,5/3/2016,1953
4702921684,5/3/2016,3145
5553957443,5/3/2016,2116
5577150313,5/3/2016,3795
6117666160,5/3/2016,1496
6290855005,5/3/2016,2671
6775888955,5/3/2016,1843
6962181067,5/3/2016,2072
7007744171,5/3/2016,2976
7086361926,5/3/2016,2754
8053475328,5/3/2016,3023
8378563200,5/3/2016,3784
8583815059,5/3/2016,3212
8792009665,5/3/2016,2297
8877689391,5/3/2016,2817
1503960366,5/4/2016,1819
1624580081,5/4/2016,1368
1644430081,5/4/2016,2222
1844505072,5/4/2016,1549
1927972279,5/4/2016,2338
2022484408,5/4/2016,2649
2026352035,5/4/2016,1658
2320127002,5/4/2016,1426
2873212765,5/4/2016,2015
3977333714,5/4/2016,1628
4020332650,5/4/2016,3879
4319703577,5/4/2016,2282
4388161847,5/4/2016,3162
4445114986,5/4/2016,2070
4558609924,5/4/2016,1842
4702921684,5/4/2016,3004
5553957443,5/4/2016,1698
5577150313,5/4/2016,2755
6117666160,5/4/2016,1902
6290855005,5/4/2016,2718
6775888955,5/4/2016,1841
6962181067,5/4/2016,2086
7007744171,5/4/2016,1557
7086361926,5/4/2016,2655
8053475328,5/4/2016,2918
8378563200,5/4/2016,3110
8583815059,5/4/2016,2516
8792009665,5/4/2016,2067
8877689391,5/4/2016,3477
1503960366,5/5/2016,1959
1624580081,5/5/2016,1370
1644430081,5/5/2016,2463
1844505072,5/5/2016,1589
1927972279,5/5/2016,2063
2022484408,5/5/2016,2609
2026352035,5/5/2016,1926
2320127002,5/5/2016,1780
2873212765,5/5/2016,1971
3977333714,5/5/2016,1618
4020332650,5/5/2016,3429
4319703577,5/5/2016,2530
4388161847,5/5/2016,2899
4445114986,5/5/2016,2120
4558609924,5/5/2016,2262
4702921684,5/5/2016,3006
5553957443,5/5/2016,2156
5577150313,5/5/2016,3004
6117666160,5/5/2016,2636
6290855005,5/5/2016,2682
6775888955,5/5/2016,1841
6962181067,5/5/2016,2066
7007744171,5/5/2016,2933
7086361926,5/5/2016,2386
8053475328,5/5/2016,2950
8378563200,5/5/2016,3783
8583815059,5/5/2016,3266
8792009665,5/5/2016,1688
8877689391,5/5/2016,3052
1503960366,5/6/2016,1896
1624580081,5/6/2016,1341
1644430081,5/6/2016,3328
1844505072,5/6/2016,1351
1927972279,5/6/2016,2383
2022484408,5/6/2016,2498
2026352035,5/6/2016,1736
2320127002,5/6/2016,1742
2873212765,5/6/2016,1910
3977333714,5/6/2016,1590
4020332650,5/6/2016,2704
4319703577,5/6/2016,2266
4388161847,5/6/2016,3425
4445114986,5/6/2016,2211
4558609924,5/6/2016,1722
4702921684,5/6/2016,2859
5553957443,5/6/2016,1916
5577150313,5/6/2016,2643
6117666160,5/6/2016,1838
6290855005,5/6/2016,2806
6775888955,5/6/2016,2496
6962181067,5/6/2016,1850
7007744171,5/6/2016,2553
7086361926,5/6/2016,2924
8053475328,5/6/2016,2859
