id,date,step_total
1503960366,4/24/2016,10039
1624580081,4/24/2016,6076
1644430081,4/24/2016,3321
1844505072,4/24/2016,0
1927972279,4/24/2016,2090
2022484408,4/24/2016,13481
2026352035,4/24/2016,3490
2320127002,4/24/2016,4165
2347167796,4/24/2016,9471
2873212765,4/24/2016,6873
3372868164,4/24/2016,6731
3977333714,4/24/2016,14112
4020332650,4/24/2016,0
4319703577,4/24/2016,4081
4388161847,4/24/2016,10243
4445114986,4/24/2016,5002
4558609924,4/24/2016,8563
4702921684,4/24/2016,15050
5553957443,4/24/2016,1807
5577150313,4/24/2016,15764
6117666160,4/24/2016,7623
6290855005,4/24/2016,5896
6775888955,4/24/2016,2153
6962181067,4/24/2016,5029
7007744171,4/24/2016,11085
7086361926,4/24/2016,3520
8053475328,4/24/2016,22988
8253242879,4/24/2016,8905
8378563200,4/24/2016,3703
8583815059,4/24/2016,8286
8792009665,4/24/2016,400
8877689391,4/24/2016,16674
1503960366,4/25/2016,15355
1624580081,4/25/2016,6497
1644430081,4/25/2016,3580
1844505072,4/25/2016,0
1927972279,4/25/2016,152
2022484408,4/25/2016,11369
2026352035,4/25/2016,6017
2320127002,4/25/2016,3588
2347167796,4/25/2016,9482
2873212765,4/25/2016,7373
3372868164,4/25/2016,5995
3977333714,4/25/2016,11177
4020332650,4/25/2016,0
4319703577,4/25/2016,9259
4388161847,4/25/2016,12961
4445114986,4/25/2016,3385
4558609924,4/25/2016,8095
4702921684,4/25/2016,9167
5553957443,4/25/2016,10946
5577150313,4/25/2016,6393
6117666160,4/25/2016,0
6290855005,4/25/2016,7802
6775888955,4/25/2016,6474
6962181067,4/25/2016,13239
7007744171,4/25/2016,18229
7086361926,4/25/2016,10091
8053475328,4/25/2016,20500
8253242879,4/25/2016,6829
8378563200,4/25/2016,12405
8583815059,4/25/2016,4503
8792009665,4/25/2016,0
8877689391,4/25/2016,12986
1503960366,4/26/2016,13755
1624580081,4/26/2016,2826
1644430081,4/26/2016,9919
